date,season,home,n,p,t1,t2,r_t1,r_t2,s_t1,s_t2,p_t1,p_t2,s1_t1,s1_t2,s2_t1,s2_t2,s3_t1,s3_t2,s4_t1,s4_t2,s5_t1,s5_t2,elo_start_team1,elo_start_team2,elo_adjusted_team1,elo_adjusted_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
12/29/2019 0:00:00,2020,UCI,0,0,Princeton,UCI,0,1,0,3,,,,,,,,,,,,,1500,1500,1491,1550,0.41589904118632204,0.584100958813678,1492.5230287644104,1512.4769712355896
1/2/2020 0:00:00,2020,Daemen,0,0,UCLA,Daemen,1,0,3,0,,,,,,,,,,,,,1500,1500,1492,1550,0.41729811503576986,0.5827018849642301,1522.481056548927,1482.518943451073
1/2/2020 0:00:00,2020,USC,0,0,Princeton,USC,0,1,2,3,,,,,,,,,,,,,1492.5230287644104,1500,1483.5230287644104,1550,0.40548255512835174,0.5945174448716483,1482.0252187772267,1515.4978099871837
1/2/2020 0:00:00,2020,Loyola,0,0,King,Loyola,0,1,1,3,,,,,,,,,,,,,1500,1500,1499,1550,0.4271277486054956,0.5728722513945045,1490.5195008751684,1514.4804991248316
1/3/2020 0:00:00,2020,Hawaii,0,0,Charleston,Hawaii,0,1,0,3,,,,,,,,,,,,,1500,1500,1482,1550,0.403370826694226,0.596629173305774,1492.8988751991733,1512.1011248008267
1/3/2020 0:00:00,2020,Loyola,0,0,BYU,Loyola,1,0,3,1,,,,,,,,,,,,,1500,1514.4804991248316,1495,1564.4804991248316,0.4013214929321948,0.5986785070678052,1521.2936885453673,1498.1868105794642
1/3/2020 0:00:00,2020,Stanford,0,0,Menlo,Stanford,0,1,0,3,,,,,,,,,,,,,1373,1500,1373,1550,0.26524291068345335,0.7347570893165466,1370.0427126794964,1507.9572873205036
1/3/2020 0:00:00,2020,Lewis,0,0,King,Lewis,0,1,0,3,,,,,,,,,,,,,1490.5195008751684,1500,1489.5195008751684,1550,0.4138302059860155,0.5861697940139845,1483.104594695588,1512.4149061795804
1/3/2020 0:00:00,2020,Urbana,0,0,Greenville,Urbana,1,0,3,1,,,,,,,,,,,,,1500,1500,1499,1550,0.4271277486054956,0.5728722513945045,1520.5195008751684,1484.4804991248316
1/4/2020 0:00:00,2020,Hawaii,0,0,Charleston,Hawaii,0,1,0,3,,,,,,,,,,,,,1492.8988751991733,1512.1011248008267,1474.8988751991733,1562.1011248008267,0.3770762965043438,0.6229237034956562,1486.586586304043,1523.413413695957
1/4/2020 0:00:00,2020,Lewis,0,0,BYU,Lewis,1,0,3,1,,,,,,,,,,,,,1521.2936885453673,1512.4149061795804,1517.2936885453673,1562.4149061795804,0.43542796528568656,0.5645720347143134,1541.56418292013,1497.1444118048178
1/4/2020 0:00:00,2020,Stanford,0,0,UCSC,Stanford,0,1,0,3,,,,,,,,,,,,,1419,1507.9572873205036,1419,1557.9572873205036,0.3100463870339498,0.6899536129660502,1414.6986083889815,1517.2586789315221
1/4/2020 0:00:00,2020,GMU,0,0,UCLA,GMU,1,0,3,0,,,,,,,,,,,,,1522.481056548927,1500,1513.481056548927,1550,0.4476377085735382,0.5523622914264619,1544.0519252917209,1483.429131257206
1/4/2020 0:00:00,2020,Ohio,0,0,Greenville,Ohio,0,1,0,3,,,,,,,,,,,,,1520.5195008751684,1500,1519.5195008751684,1550,0.45624722645678034,0.5437527735432197,1511.832084081465,1513.6874167937035
1/5/2020 0:00:00,2020,Pepperdine,0,0,Cal Lu,Pepperdine,0,1,0,3,,,,,,,,,,,,,1419,1500,1419,1550,0.31992932426277854,0.6800706757372215,1414.4021202721167,1509.5978797278833
1/6/2020 0:00:00,2020,Concordia,0,0,Katherine,Concordia,0,1,1,3,,,,,,,,,,,,,1373,1500,1373,1550,0.26524291068345335,0.7347570893165466,1368.3760460128296,1509.6239539871704
1/6/2020 0:00:00,2020,Princeton,0,0,UCLA,Princeton,1,0,3,2,,,,,,,,,,,,,1544.0519252917209,1482.0252187772267,1535.0519252917209,1532.0252187772267,0.5043556706279273,0.49564432937207265,1560.5879218395498,1470.4892222293977
1/7/2020 0:00:00,2020,Ohio,0,0,Urbana,Ohio,0,1,0,3,,,,,,,,,,,,,1484.4804991248316,1513.6874167937035,1484.4804991248316,1563.6874167937035,0.3879466386099083,0.6120533613900917,1477.8420999665343,1525.3258159520008
1/7/2020 0:00:00,2020,LMU,0,0,Olive,LMU,0,1,0,3,,,,,,,,,,,,,1500,1500,1499,1550,0.4271277486054956,0.5728722513945045,1492.1861675418352,1512.8138324581648
1/8/2020 0:00:00,2020,SFU,0,0,Stanford,SFU,0,1,2,3,,,,,,,,,,,,,1517.2586789315221,1500,1508.2586789315221,1550,0.4402167689362101,0.5597832310637899,1505.7188425301026,1516.5398364014195
1/8/2020 0:00:00,2020,Tusculum,0,0,King,Tusculum,1,0,3,0,,,,,,,,,,,,,1483.104594695588,1500,1483.104594695588,1550,0.40490203077952014,0.5950979692204797,1505.9575337722024,1482.1470609233857
1/9/2020 0:00:00,2020,Hawaii,0,0,Emmanuel,Hawaii,0,1,0,3,,,,,,,,,,,,,1500,1523.413413695957,1482,1573.413413695957,0.3713994318130683,0.6286005681869317,1493.858017045608,1534.555396650349
1/9/2020 0:00:00,2020,UCSB,1,0,CSUN,McKendree,0,1,2,3,,,,,,,,,,,,,1500,1500,1500,1494,0.5086338358210827,0.4913661641789174,1486.4076515920342,1518.5923484079658
1/9/2020 0:00:00,2020,UCSB,1,0,Benedictine,LBSU,0,1,0,3,,,,,,,,,,,,,1419,1500,1412,1500,0.37599824138233284,0.6240017586176672,1412.72005275853,1511.27994724147
1/9/2020 0:00:00,2020,UCI,0,0,Lewis,UCI,1,0,3,2,,,,,,,,,,,,,1497.1444118048178,1512.4769712355896,1491.1444118048178,1562.4769712355896,0.39876269411125836,0.6012373058887416,1516.8481976481467,1497.7731853922608
1/9/2020 0:00:00,2020,UCSB,0,0,Concordia,UCSB,0,1,0,3,,,,,,,,,,,,,1509.6239539871704,1500,1509.6239539871704,1550,0.44215436918774814,0.5578456308122518,1501.359322911538,1513.2646310756325
1/9/2020 0:00:00,2020,UCSD,0,0,Loyola,UCSD,0,1,2,3,,,,,,,,,,,,,1498.1868105794642,1500,1492.1868105794642,1550,0.4175596252128168,0.5824403747871832,1487.3266884897464,1515.8601220897178
1/9/2020 0:00:00,2020,Hawaii,1,0,GCU,Harvard,0,1,0,3,,,,,,,,,,,,,1500,1500,1489,1480,0.5129491448928637,0.48705085510713625,1489.6115256532141,1515.3884743467859
1/9/2020 0:00:00,2020,Lindenwood,0,0,Olive,Lindenwood,1,0,3,0,,,,,,,,,,,,,1492.1861675418352,1500,1490.1861675418352,1550,0.41476142785696457,0.5852385721430354,1514.7433247061263,1482.442842835709
1/9/2020 0:00:00,2020,Ohio,0,0,SFU,Ohio,0,1,0,3,,,,,,,,,,,,,1516.5398364014195,1525.3258159520008,1516.5398364014195,1575.3258159520008,0.4161983584408718,0.5838016415591283,1509.0538856481933,1537.811766705227
1/9/2020 0:00:00,2020,Indiana Tech,0,0,Belmont,Indiana Tech,1,0,3,0,,,,,,,,,,,,,1500,1373,1499,1423,0.6076610641268197,0.39233893587318014,1516.7701680761954,1361.2298319238046
1/10/2020 0:00:00,2020,Hawaii,0,0,Harvard,Hawaii,0,1,0,3,,,,,,,,,,,,,1515.3884743467859,1534.555396650349,1495.3884743467859,1584.555396650349,0.374423511629172,0.625576488370828,1509.1557689979106,1545.7881019992242
