date,season,home,neutral,playoff,team1,team2,result_team1,result_team2,sets_team1,sets_team2,points_team1,points_team2,elo_start_team1,elo_start_team2,elo_adjusted_team1,elo_adjusted_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
1/13/2021,2021,Quincy,0,0,Indiana Tech,Quincy,0,1,0,3,58,75,1373,1500,1373,1570,0.24341940570494724,0.7565805942950526,1371.1579342630812,1505.8420657369188
1/14/2021,2021,Greenville,0,0,Tusculum,Greenville,0,1,1,3,80,99,1500,1500,1500,1570,0.40060320329074317,0.5993967967092568,1493.0521897876888,1510.9478102123112
1/15/2021,2021,Queens,0,0,SFU,Queens,0,1,2,3,92,106,1500,1500,1500,1570,0.40060320329074317,0.5993967967092568,1491.7188564543553,1512.2811435456447
1/15/2021,2021,,1,0,SFU,Limestone,0,1,1,3,88,98,1491.7188564543553,1500,1491.7188564543553,1500,0.48808473275588454,0.5119152672441154,1482.6714895348807,1513.0473669194746
1/16/2021,2021,Queens,0,0,SFU,Queens,1,0,3,1,97,83,1482.6714895348807,1512.2811435456447,1482.6714895348807,1582.2811435456447,0.3604528336478154,0.6395471663521847,1500.6872881939998,1498.2653448865256
1/16/2021,2021,LMU,0,0,Lees,LMU,0,1,0,3,46,75,1500,1500,1500,1570,0.40060320329074317,0.5993967967092568,1494.385523121022,1509.614476878978
1/16/2021,2021,Campbellsville,0,0,Tusculum,Campbellsville,0,1,0,3,60,77,1493.0521897876888,1373,1493.0521897876888,1443,0.5715366886884156,0.42846331131158444,1483.335309259167,1386.7168805285219
1/19/2021,2021,Alderson,0,0,Mount Union,Alderson,1,0,3,0,75,51,1419,1500,1419,1570,0.29541540733727906,0.704584592662721,1439.9100302239053,1483.0899697760947
1/20/2021,2021,Lewis,0,0,Campbellsville,Lewis,0,1,1,3,73,105,1373,1500,1373,1570,0.24341940570494724,0.7565805942950526,1369.824600929748,1507.175399070252
1/21/2021,2021,Quincy,0,0,Georgetown,Quincy,0,1,0,3,45,75,1373,1505.8420657369188,1373,1575.8420657369188,0.23727951517277404,0.762720484827226,1371.3052916358533,1511.5367741010655
1/21/2021,2021,Lourdes,0,0,Queens,Lourdes,0,1,2,3,105,97,1498.2653448865256,1373,1498.2653448865256,1443,0.5788691578713293,0.4211308421286706,1485.705818430947,1389.5595264555786
1/22/2021,2021,GMU,0,0,Ball,GMU,0,1,2,3,111,117,1500,1500,1500,1570,0.40060320329074317,0.5993967967092568,1491.7188564543553,1512.2811435456447
1/22/2021,2021,Ohio,0,0,Penn,Ohio,1,0,3,0,75,65,1500,1500,1500,1570,0.40060320329074317,0.5993967967092568,1518.385523121022,1485.614476878978
1/22/2021,2021,SFU,0,0,King,SFU,1,0,3,1,99,92,1500,1500.6872881939998,1500,1570.6872881939998,0.3996535783808515,0.6003464216191484,1517.0749807855263,1487.6123074084735
1/22/2021,2021,Lewis,0,0,Queens,Lewis,0,1,0,3,56,75,1485.705818430947,1507.175399070252,1485.705818430947,1577.175399070252,0.3713239513718249,0.628676048628175,1480.794043598023,1516.0871739031759
1/22/2021,2021,Lindenwood,0,0,Georgetown,Lindenwood,0,1,2,3,88,110,1373,1500,1373,1570,0.24341940570494724,0.7565805942950526,1368.4912675964144,1508.5087324035856
1/22/2021,2021,Loyola,0,0,LMU,Loyola,0,1,1,3,87,98,1509.614476878978,1500,1509.614476878978,1570,0.41396283412072465,0.5860371658792753,1502.3460355267473,1511.2684413522306
1/22/2021,2021,Maranatha,1,0,Erskine,Maranatha,1,0,3,0,75,50,1500,1419,1500,1489,0.515824985264735,0.4841750147352649,1515.6202003536464,1407.3797996463536
1/22/2021,2021,,1,0,Erskine,Maranatha,1,0,3,0,75,50,1515.6202003536464,1419,1515.6202003536464,1419,0.6355706572466489,0.3644293427533511,1528.3665045797268,1410.2536957739196
1/23/2021,2021,GMU,0,0,Ball,GMU,1,0,3,1,98,93,1491.7188564543553,1512.2811435456447,1491.7188564543553,1582.2811435456447,0.37254399223153767,0.6274560077684623,1509.4444673074652,1498.5555326925348
1/23/2021,2021,Ohio,0,0,Penn,Ohio,0,1,0,3,62,75,1518.385523121022,1485.614476878978,1518.385523121022,1555.614476878978,0.44662734542360716,0.5533726545763927,1511.6664668308556,1496.3335331691444
1/23/2021,2021,SFU,0,0,King,SFU,1,0,3,2,111,108,1517.0749807855263,1487.6123074084735,1517.0749807855263,1557.6123074084735,0.4419253866006298,0.5580746133993703,1531.8021048404446,1476.8851833535552
1/23/2021,2021,Lewis,0,0,LMU,Lewis,0,1,0,3,65,75,1502.3460355267473,1516.0871739031759,1502.3460355267473,1586.0871739031759,0.38176751734570213,0.6182324826542979,1497.1836151104505,1525.2495943194726
1/23/2021,2021,Loyola,0,0,Queens,Loyola,0,1,0,3,56,75,1480.794043598023,1511.2684413522306,1480.794043598023,1581.2684413522306,0.35930610232290044,0.6406938976770995,1476.1706971422734,1519.8917878079803
1/23/2021,2021,Quincy,0,0,Culver,Quincy,0,1,0,3,58,80,1373,1511.5367741010655,1373,1581.5367741010655,0.2313979893494146,0.7686020106505853,1371.446448255614,1517.0903258454514
1/23/2021,2021,Belmont,0,0,Limestone,Belmont,0,1,1,3,86,92,1513.0473669194746,1500,1513.0473669194746,1570,0.41876488727589223,0.5812351127241078,1505.66367629152,1511.3836906279546
1/23/2021,2021,,1,0,Erskine,OUAZ,0,1,2,3,113,108,1528.3665045797268,1373,1528.3665045797268,1373,0.7097894110181939,0.29021058898180613,1512.6648920486234,1392.7016125311034
1/23/2021,2021,,1,0,Erskine,Lancaster,1,0,3,0,75,51,1512.6648920486234,1419,1512.6648920486234,1419,0.6316212860048965,0.3683787139951036,1525.5059811845058,1410.1589108641176
1/23/2021,2021,St Andrews,0,0,Alderson,St Andrews,1,0,3,1,98,87,1483.0899697760947,1373,1483.0899697760947,1443,0.5574394057510651,0.44256059424893485,1496.3780907047358,1363.711879071359
1/24/2021,2021,McKendree,0,0,LMU,McKendree,0,1,0,3,56,75,1497.1836151104505,1500,1497.1836151104505,1570,0.3967166220035043,0.6032833779964957,1491.6624161823665,1509.521198928084
1/24/2021,2021,Quincy,0,0,Augustana,Quincy,0,1,0,3,48,75,1419,1517.0903258454514,1419,1587.0903258454514,0.2753579948433619,0.7246420051566381,1416.3914081237592,1523.6989177216922
1/24/2021,2021,Quincy,0,0,Augustana,Quincy,0,1,1,3,81,98,1419,1523.6989177216922,1419,1593.6989177216922,0.26783244480503315,0.7321675551949668,1415.2386879913458,1531.4602297303463
1/25/2021,2021,Pepperdine,0,0,Concordia,Pepperdine,0,1,2,3,92,106,1500,1500,1500,1570,0.40060320329074317,0.5993967967092568,1491.7188564543553,1512.2811435456447
1/27/2021,2021,Concordia,0,0,Pepperdine,Concordia,1,0,3,0,75,62,1512.2811435456447,1491.7188564543553,1512.2811435456447,1561.7188564543553,0.429329731279876,0.5706702687201239,1529.9772299949277,1478.0227700050723
1/27/2021,2021,Reinhardt,0,0,Erskine,Reinhardt,1,0,3,2,117,122,1525.5059811845058,1373,1525.5059811845058,1443,0.6165529357612153,0.3834470642387847,1536.04204405957,1366.463937124936
1/28/2021,2021,Ball,0,0,LMU,Ball,0,1,0,3,49,75,1491.6624161823665,1509.4444673074652,1491.6624161823665,1579.4444673074652,0.3762926492891338,0.6237073507108662,1486.6313925994273,1518.4754908904044
1/28/2021,2021,Queens,0,0,Belmont,Queens,1,0,3,2,109,114,1511.3836906279546,1476.1706971422734,1511.3836906279546,1546.1706971422734,0.4501040979373073,0.5498959020626927,1525.9145256107925,1465.6398621594356
1/28/2021,2021,Alderson,0,0,Geneva,Alderson,1,0,3,1,100,83,1419,1496.3780907047358,1419,1566.3780907047358,0.2997735373443953,0.7002264626556046,1438.4721017704012,1480.9059889343346
1/29/2021,2021,UCLA,0,0,GCU,UCLA,0,1,0,3,64,75,1500,1500,1500,1570,0.40060320329074317,0.5993967967092568,1494.385523121022,1509.614476878978
1/29/2021,2021,,1,0,Loyola,NJIT,1,0,3,0,75,64,1519.8917878079803,1500,1519.8917878079803,1500,0.5285953461568645,0.4714046538431355,1535.2054995002156,1488.6862883077647
1/29/2021,2021,Ball,0,0,LMU,Ball,0,1,1,3,87,102,1486.6313925994273,1518.4754908904044,1486.6313925994273,1588.4754908904044,0.35749303991889264,0.6425069600811074,1480.7182263080406,1528.3886571817911
1/29/2021,2021,GMU,0,0,SVU,GMU,0,1,0,3,64,80,1419,1498.5555326925348,1419,1568.5555326925348,0.297149078041666,0.702850921958334,1415.868422127,1505.6871105655348
1/29/2021,2021,Penn,0,0,Ohio,Penn,0,1,0,3,54,75,1496.3335331691444,1511.6664668308556,1496.3335331691444,1581.6664668308556,0.3796071857406048,0.6203928142593952,1491.22296071137,1520.77703928863
1/29/2021,2021,SFU,0,0,Lewis,SFU,1,0,3,0,76,67,1525.2495943194726,1476.8851833535552,1525.2495943194726,1546.8851833535552,0.46890406903916076,0.5310959309608393,1541.9958966625327,1464.1388810104952
1/29/2021,2021,King,0,0,Lindenwood,King,1,0,3,0,75,54,1508.5087324035856,1531.8021048404446,1508.5087324035856,1601.8021048404446,0.36887646348995334,0.6311235365100466,1527.6556972798267,1516.6551399642035
1/29/2021,2021,Olive,0,0,Queens,Olive,0,1,2,3,105,107,1465.6398621594356,1500,1465.6398621594356,1570,0.3541732121512557,0.6458267878487444,1458.4730384011386,1511.166823758297
1/30/2021,2021,,1,0,Lewis,NJIT,1,0,3,2,105,106,1541.9958966625327,1488.6862883077647,1541.9958966625327,1488.6862883077647,0.5761222461426506,0.4238777538573494,1553.5022960884423,1481.179888881855
1/30/2021,2021,Concordia,0,0,GCU,Concordia,1,0,3,0,86,80,1494.385523121022,1478.0227700050723,1494.385523121022,1548.0227700050723,0.4234172391984692,0.5765827608015308,1512.2235093802587,1464.1847837458356
1/30/2021,2021,GMU,0,0,Barton,GMU,0,1,0,3,48,75,1500,1505.6871105655348,1500,1575.6871105655348,0.3927684263327025,0.6072315736672975,1494.5735577680152,1515.1135527975196
